,country,status,life expectancy,adult mortality,infant deaths,alcohol,percentage expenditure,hepatitis b,measles,bmi,under-five deaths,polio,total expenditure,diphtheria,hiv/aids,gdp,population,thinness 1-19 years,thinness 5-9 years,income composition of resources,schooling
13,Barbados,1.0,74.35625,77.625,0.0,7.9284375,389.07699521374997,84.5625,0.0,45.975,0.0,80.3125,6.0990625,89.9375,0.25625,12017.098529375,1386542.0,3.95625,3.91875,0.7704375,14.89375
14,Belarus,1.0,69.90625,218.75,0.5625,12.8884375,329.046455333125,88.9375,24.8125,54.74375,0.875,89.875,6.1646875,92.1875,0.1,3811.525348,6371866.8125,2.2125,2.3375,0.74325,14.75
15,Belgium,0.0,80.68125,70.1875,0.25,10.5871875,2392.4326567562503,74.5,81.5625,50.89375,1.0,97.75,5.9490625,97.3125,0.1,16915.306,2884042.5625,0.8625,0.8562500000000001,0.87775,16.7875
16,Belize,1.0,69.26875,155.5,0.0,6.0965625,365.843489793125,94.75,0.0,37.675,0.0,95.5,5.0840625,95.1875,0.43125,3933.0121745,170392.875,3.55625,3.4875,0.6939375,12.45625
17,Benin,1.0,57.56875,269.375,25.0,1.1721875,43.99195641925,66.25,1116.875,19.6125,39.25,67.6875,4.7059375,67.9375,1.70625,561.167968,3942978.9375,8.25,8.1375,0.4380625,8.85
18,Bhutan,1.0,66.1625,230.25,0.6875,0.4959375,134.76406995375,94.125,80.25,17.58125,0.9375,89.375,5.3715625000000005,93.875,0.35625,1353.98694560625,492584.9375,17.21875,17.925,0.18387499999999998,10.225
19,Bolivia,1.0,67.70625,177.5,10.75,3.2459375,0.0,82.875,7.625,44.81875,14.0,81.6875,5.6340625,87.375,0.15625,1766.947595,1386542.0,1.3,1.1875,0.63375,13.9625
20,Bosnia and Herzegovina,1.0,75.96875,64.9375,0.0,4.3646875,215.45745909825,76.75,319.1875,48.9625,0.0,78.3125,8.5553125,78.5,0.1,2245.0260235625,1986993.0625,2.78125,2.75625,0.45037499999999997,12.225
21,Botswana,1.0,56.05,448.125,2.0,4.6128125,334.26697087218747,87.3125,237.875,32.24375,3.125,96.1875,5.5259374999999995,95.8125,16.525,4498.2854311875,1063867.375,7.4375,7.8125,0.630375,12.1375
22,Brazil,1.0,73.38125,150.6875,68.25,6.9971875,390.69559517187497,96.1875,95.375,47.0625,77.25,98.3125,7.8778125,97.9375,0.1,6143.1617935,88128071.25,3.05,3.0125,0.7101875,14.1625
23,Brunei,1.0,76.4875,67.0625,0.0,0.5896875,1276.879485248125,97.875,7.3125,29.718750000000004,0.0,97.5,3.0034375,96.8125,0.1,19744.808101875,1386542.0,6.2,5.675,0.839375,14.10625
24,Bulgaria,0.0,72.85,125.5,0.9375,10.4209375,350.74520402625,94.5,1530.3125,54.5,1.0,94.25,7.1434375,94.0,0.1,4938.981821375,5290923.9375,2.13125,2.15625,0.754625,13.725
25,Burkina Faso,1.0,55.64375,252.5,44.75,4.2109375,52.0455813263125,85.1875,5091.75,15.5,79.9375,69.0,6.0203125,77.3125,1.8375,410.37203431250003,6143694.8125,7.41875,6.98125,0.2296875,5.40625
26,Burundi,1.0,55.5375,291.5625,23.25,4.0815625,15.335497774875,93.0,1349.5,15.3125,35.5625,86.625,7.0059375,85.75,3.0875,137.81532131875,3915446.6875,8.01875,8.0125,0.327875,7.48125
27,Cambodia,1.0,64.34375,196.375,16.75,1.6278124999999999,33.7965609773125,84.25,1880.8125,15.3625,20.5,74.1875,5.7415625,72.0625,1.025,466.19687805,7145967.4375,10.14375,10.88125,0.4919375,9.875
28,Cameroon,1.0,54.01875,294.875,54.9375,4.1171875,44.4622999386875,81.5625,2979.25,23.61875,86.1875,72.5,4.7840625,69.4375,6.2125,781.0160044125,9967291.9375,6.55,6.60625,0.47000000000000003,8.90625
29,Canada,1.0,81.6875,64.625,2.0,7.7846874999999995,4694.078971425,40.6875,129.5,55.8625,2.0,85.3125,6.9709375,91.0625,0.1,29382.907523125,11364053.8125,0.50625,0.4375,0.8921875,15.875
30,Cape Verde,1.0,72.51875,116.1875,0.0,3.4671875,188.6329873781875,82.0625,0.125,24.375,0.0,84.375,4.8178125,79.0,0.53125,2023.54103925,292600.25,8.0125,7.975,0.57,12.2
31,Central African Republic,1.0,48.5125,333.0625,16.5,1.3890625,40.905543112125,70.375,699.4375,17.0875,24.5,41.3125,4.1465625,42.4375,8.98125,363.05590485,2016546.125,7.10625,7.0875,0.3355,6.2375
32,Chad,1.0,50.3875,227.75,44.875,0.6203125,32.2773204970625,60.9375,4687.75,16.31875,78.125,32.875,4.4653125000000005,26.8125,4.3375,484.79169405625,4114092.0625,7.14375,7.04375,0.316625,6.0875
33,Chile,1.0,79.45,63.625,2.0,6.7765625,775.54081278375,82.75,1.0625,55.5875,2.1875,83.625,6.8390625,88.8125,0.1,6202.3443635625,14671763.9375,0.8875000000000001,0.9125000000000001,0.8013125,14.9
34,China,1.0,74.2625,73.75,294.875,4.1553125,73.5837628956875,80.4375,65857.9375,21.80625,350.0,93.6875,4.9703124999999995,93.3125,0.1,2345.3031576875,321812.0625,4.6375,4.025,0.66025,11.4375
35,Colombia,1.0,73.2875,124.25,13.875,4.3778125,516.640179215,79.0,9.5,49.54375,16.375,84.25,6.3034375,79.1875,0.1,3321.6607483125,31767432.625,2.3,2.075,0.681875,12.23125
36,Comoros,1.0,61.58125,240.9375,1.6875,0.3609375,47.7314576225,79.375,62.625,18.25625,2.0,67.8125,4.8896875,66.9375,0.28125,630.38433406875,532200.6875,7.275,7.1625,0.324625,9.95625
37,Congo,1.0,57.365625,294.0625,121.1875,1.9209375,0.0,68.96875,24972.15625,18.38125,167.59375,54.03125,3.4278125,48.5625,3.403125,1766.947595,1386542.0,8.315625,8.040625,0.60265625,11.19375
38,Cook Islands,1.0,72.1,144.0,0.0,0.01,0.0,98.0,0.0,82.8,0.0,98.0,3.58,98.0,0.1,1766.947595,1386542.0,0.1,0.1,0.677,12.3
39,Costa Rica,1.0,78.59375,69.375,1.0,3.9140625,972.359149879375,79.3125,0.1875,46.725,1.0,69.9375,8.4409375,79.75,0.1,3957.22728625,2309299.4375,1.9625,1.90625,0.7369375,12.8375
40,Croatia,0.0,76.11875,89.0,0.0,11.9046875,1162.85632917,94.375,23.6875,52.35625,0.0,95.5,7.2696875,95.375,0.1,9056.7847190625,1159772.375,1.74375,1.71875,0.7890625,13.8875
41,Cuba,1.0,77.975,57.5625,1.0,4.1634375,364.5638580836875,96.25,0.0,49.4625,1.0,98.6875,6.3865625,93.9375,0.1,3180.4348844375,1386542.0,3.44375,3.26875,0.742125,14.69375
42,Cyprus,0.0,79.675,54.125,0.0,9.8540625,932.6673898875,92.625,1.9375,53.162499999999994,0.0,98.0,6.6971875,98.0,0.1,13898.885501249999,390274.375,0.90625,1.0,0.8330625,13.51875
43,Czechia,0.0,76.76875,71.8125,0.0,12.4465625,0.0,96.625,22.9375,55.7125,0.0,98.0,6.9690625,98.125,0.1,1766.947595,1386542.0,1.99375,2.0625,0.677,12.3
44,Côte d'Ivoire,1.0,50.3875,417.3125,61.5,2.8946875,0.0,65.6875,1708.25,21.325,86.8125,65.9375,5.7253125,68.9375,4.6875,1766.947595,1386542.0,6.7375,6.69375,0.677,12.3
45,Denmark,0.0,79.25625,66.0625,0.0,10.2734375,5313.33579445625,92.0,15.75,55.825,0.0,88.0,7.6934375,88.0,0.1,33067.407915625,4260081.375,1.1625,0.9375,0.899875,17.19375
46,Djibouti,1.0,60.75625,274.6875,1.4375,0.9509375,98.838448121875,84.125,113.875,26.25,1.875,74.875,6.9884375,75.125,3.28125,897.9998706499999,634116.1875,5.84375,5.7,0.4184375,4.75
47,Dominica,1.0,72.1,144.0,0.0,0.01,11.41955507,96.0,0.0,58.4,0.0,96.0,5.58,96.0,0.1,722.75665,1386542.0,2.7,2.6,0.721,12.7
48,Dominican Republic,1.0,72.34375,143.5,6.4375,5.8884375,360.678997136875,65.125,23.0,48.14375,7.8125,75.625,4.7484375,83.1875,1.41875,3509.4991863125,4448642.6875,3.46875,3.375,0.685,12.74375
49,Ecuador,1.0,74.725,132.125,7.375,3.8040625,109.40605116625,78.0625,20.75,43.3125,8.75,78.75,5.8721875,89.1875,0.19375,2005.3524679375,8710592.0625,1.38125,1.26875,0.698875,13.0125
50,Egypt,1.0,71.5,170.625,56.25,0.4115625,0.0,96.6875,1069.25,49.2625,67.625,96.6875,5.3715625,96.6875,0.1,1766.947595,1386542.0,3.125,3.075,0.647625,11.89375
51,El Salvador,1.0,71.74375,155.0625,2.5625,2.7590625,341.56915731,86.0625,0.125,45.325,2.875,82.25,7.0190625,87.1875,0.2875,2517.8346304375,2930826.5,1.80625,1.725,0.6504375,12.65625
52,Equatorial Guinea,1.0,55.3125,279.375,3.0,7.1178125,552.671538039375,81.625,294.5,17.85625,4.0,36.875,3.1059375,29.9375,5.1375,7902.4107885625,556765.3125,6.65625,6.6,0.5361875,8.325
53,Eritrea,1.0,60.6875,308.625,6.3125,0.8046875,6.4360693815625,87.125,175.0,15.15625,8.9375,87.8125,3.6115625,82.25,1.2125,636.28341596875,1900575.0,8.08125,8.01875,0.2553125,4.925
54,Estonia,1.0,74.94375,169.6875,0.0,8.6859375,859.5750084284375,88.125,3.5,56.68125,0.0,94.25,5.6915625,94.125,0.1,8340.4329494375,791848.6875,2.075,2.1375,0.8233125,15.9375
55,Ethiopia,1.0,59.1125,285.5625,187.75,1.2421875,32.482109182375,76.3125,3948.375,14.8,288.5,51.125,4.9546875,46.1875,2.725,264.97094995,43950760.75,8.38125,6.475,0.346125,6.8
56,Fiji,1.0,68.7125,125.0,0.0,1.6059375,139.1568375969375,98.875,50.0,50.5625,0.0,97.125,4.0134375,91.6875,0.1,2947.612688875,650205.125,4.09375,3.79375,0.7022499999999999,14.18125
57,Finland,1.0,80.7125,68.875,0.0,9.190312500000001,2889.3154698925,92.0,2.8125,52.3,0.0,97.1875,8.4353125,98.25,0.1,25268.649758125,3493082.3125,0.9,0.80625,0.8729375,17.29375
58,France,1.0,82.21875,73.125,2.9375,11.8640625,3751.50657413375,51.25,2661.625,51.98125,3.4375,98.25,6.5059375,98.0625,0.1,26465.551380625,27581733.125,0.625,0.6,0.8705625,15.9
59,Gabon,1.0,62.24375,220.4375,2.0,7.6196874999999995,261.077778610625,68.375,349.8125,28.81875,3.0,57.25,3.3365625,54.5,8.0,5179.256188625,1007302.3125,6.91875,6.775,0.654375,12.4125
60,Gambia,1.0,59.4625,249.625,3.0,2.2359375,0.0,95.375,41.25,20.3,5.6875,92.75,5.3365625,88.5,2.34375,1766.947595,1386542.0,7.5875,7.50625,0.4201875,8.125
61,Georgia,1.0,73.50625000000001,114.9375,1.1875,5.5065625,99.5257140183125,77.25,1298.0,47.74375,1.25,81.1875,7.2321875,83.5,0.1,2158.28086928125,10152.375,2.75,2.89375,0.6779375,12.675
62,Germany,0.0,81.175,71.25,2.5,11.1365625,3900.89026089375,77.4375,1497.1875,51.99375,3.25,94.8125,4.1784375,89.875,0.1,24337.7491,38757347.4375,1.1187500000000001,1.1062500000000002,0.8945000000000001,16.6
63,Ghana,1.0,60.8625,180.0625,40.3125,1.4240625,77.249122034875,70.5625,3419.75,21.725,59.8125,78.9375,4.4178125,73.875,2.2875,834.3761008125,11534782.625,7.65,7.575,0.525875,9.5125
64,Greece,1.0,81.21875,73.625,0.1875,8.4878125,1759.24682044375,88.9375,24.875,58.68125,0.4375,91.4375,8.8334375,96.625,0.1,16454.23587,1550208.4375,0.8125,0.73125,0.8423125,15.9375
65,Grenada,1.0,73.29375,153.75,0.0,8.5253125,363.84122981125,95.25,0.0,40.2125,0.0,95.125,6.1615625,95.625,0.1,6259.5172613125005,1386542.0,3.9187499999999997,3.93125,0.2331875,15.20625
66,Guatemala,1.0,71.73125,131.1875,13.125,2.3615625,334.027048028125,88.625,0.0,40.44375,16.125,71.4375,6.5415625,85.5625,0.375,2365.83447375,5933907.5,1.3375,1.3375,0.5844374999999999,9.8625
67,Guinea,1.0,56.0125,259.875,30.8125,0.3890625,15.8912829451875,73.25,1522.0,17.46875,48.375,52.4375,4.1184375,47.875,2.19375,279.46479789375,4252798.9375,7.64375,7.625,0.36475,7.175
68,Guinea-Bissau,1.0,55.36875,158.3125,4.5625,2.3534375,21.9616446626875,84.5625,331.3125,19.43125,7.3125,74.75,5.8634375,65.25,4.81875,384.21493053125,981883.1875,7.5,7.38125,0.2541875,8.2875
69,Guyana,1.0,65.6375,203.9375,0.5625,7.1778125,187.7650179566875,88.4375,0.0,36.38125,1.0,87.75,6.0634375,88.1875,1.0625,1783.8809370625,494437.25,5.68125,5.46875,0.6198125,10.7875
70,Haiti,1.0,59.86875,168.3125,17.0,5.3778125,36.129200178937495,82.375,71.9375,39.275,24.8125,53.8125,6.1565625,48.0,2.7375,434.36012815,3852657.6875,4.24375,4.25625,0.4620625,8.45
71,Honduras,1.0,72.99375,142.0,4.625,3.0865625,192.11563525374999,95.0625,0.0,39.74375,5.6875,95.375,7.9978125,95.625,0.81875,1421.7880825,2832386.5625,2.4,2.3375,0.590125,10.8875
72,Hungary,0.0,73.825,147.0625,0.5625,10.9478125,376.831080251,92.0,2.0625,56.93125,0.875,98.9375,7.6428125,99.0,0.1,8513.641831249999,1604902.25,1.91875,1.9125,0.8043125,15.11875
73,Iceland,0.0,82.44375,49.375,0.0,7.2340625,4991.59530846875,92.0,0.0,51.075,0.0,89.75,8.3715625,89.75,0.1,30159.5029075,186177.625,0.95625,0.9,0.8853125000000001,18.15625
74,India,1.0,65.41875,146.5625,1366.6875,2.0553125,33.2426210915625,49.25,46454.1875,14.79375,1812.5,69.625,4.4459375,67.0625,0.25625,837.9200509125,421467690.9375,27.1,27.94375,0.5495,9.98125
75,Indonesia,1.0,67.55625,166.5625,151.1875,0.2990625,83.768315591875,73.5625,16244.9375,19.95625,186.625,62.1875,2.8565625,72.375,0.2,1669.116783075,116555259.4375,3.41875,3.9437499999999996,0.6414375,11.6125
76,Iran,1.0,73.85625,107.0,25.1875,0.2496875,0.0,97.75,2828.25,48.63125,29.6875,98.25,6.2565625,98.375,0.1,1766.947595,1386542.0,7.76875,7.95625,0.715,12.65625
77,Iraq,1.0,70.35625,136.75,31.1875,0.3609375,120.663689503125,64.875,3454.375,48.59375,38.0,55.625,4.765625,65.75,0.1,3098.6550516875,18572840.8125,5.4,5.1625,0.6335,9.90625
78,Ireland,0.0,80.15,72.4375,0.0,12.0978125,4867.3126046874995,90.0625,174.5,53.6875,0.0,86.125,7.6053125,86.125,0.1,33835.272005,3599794.5625,0.3,0.21875,0.8915,17.65625
79,Israel,1.0,81.3,59.5,0.9375,2.5759374999999998,1467.535826921875,97.4375,138.9375,54.9875,1.0,94.25,7.3709375,89.0,0.1,18860.476015625,27862.875,1.14375,1.1,0.8731875,15.7125
80,Italy,0.0,82.1875,54.1875,2.0,7.9846875,2937.1376542306252,95.5,1961.375,56.15,2.3125,96.125,8.5884375,94.75,0.1,21234.782370625,27643788.9375,0.5125,0.525,0.8580625,15.93125
81,Jamaica,1.0,74.29375,141.25,1.0,3.6321875,134.249450170875,84.8125,0.1875,45.425,1.0,89.625,5.1821875,89.3125,1.2375,2509.546469625,1500309.125,1.88125,1.7375,0.709625,12.275
82,Japan,0.0,82.5375,57.125,2.875,6.8353125,3923.05032917375,92.0,6875.8125,25.60625,4.0,96.0,6.4278125,96.25,0.1,24892.544784375,97384.0625,1.8125,1.54375,0.8765625,14.975
83,Jordan,1.0,72.9875,114.3125,4.0,0.7196875,273.59953421875,97.0,26.5,53.0,4.0,97.125,8.5921875,97.0,0.1,1822.629925625,4895075.6875,3.8874999999999997,3.86875,0.729,13.237499999999999
84,Kazakhstan,1.0,66.7625,232.0625,7.125,6.4609375,203.03090856,97.3125,1246.9375,45.15625,8.0625,97.5,4.1278125,96.4375,0.1,4040.586664375,8340547.4375,2.4375,2.54375,0.7450625,14.025
85,Kenya,1.0,57.48125,348.5625,65.875,1.7365625,61.6554643435,76.75,2643.875,15.5625,98.625,70.1875,4.7365625,70.5,8.7625,716.77006788125,16826787.625,8.4,8.2875,0.49712500000000004,9.96875
86,Kiribati,1.0,65.15,129.4375,0.0,0.6478125,77.12610334499999,75.1875,0.0,69.43125,0.0,75.25,5.7296875,74.9375,0.1,1175.29241553125,35919.9375,0.15625,0.1375,0.36374999999999996,11.69375
87,Kuwait,1.0,73.84375,83.25,0.5,0.2546875,1719.8409805812498,98.1875,15.375,59.60625,1.0,98.1875,2.9934374999999998,98.5,0.1,31914.378339375,1386542.0,3.28125,3.15625,0.7895000000000001,13.725
88,Kyrgyzstan,1.0,69.08125,173.6875,3.75,2.3603125,0.0,85.5625,1156.625,35.1125,4.125,95.875,6.0959375,96.5625,0.1125,1766.947595,1386542.0,3.35625,3.4125,0.6220625,12.3375
89,Laos,1.0,62.38125,197.1875,10.625,3.5209375,0.0,66.25,552.75,14.3625,14.75,58.8125,3.5884375,61.5,0.2,1766.947595,1386542.0,6.275,6.38125,0.515625,9.23125
90,Latvia,0.0,73.73125,161.8125,0.0,8.5446875,530.60519180375,88.9375,3.3125,51.30625,0.0,95.0625,6.2953125,95.0,0.1,7951.824896625,1174562.6875,2.40625,2.43125,0.7925,15.56875
91,Lebanon,1.0,74.2,65.3125,1.0,1.9084375,333.0479451320625,70.5,295.1875,55.3375,1.0,71.25,6.6134375,70.5,0.1,4696.1923789375,2489104.5,4.76875,4.71875,0.4696875,13.74375
92,Lesotho,1.0,48.78125,550.0625,4.5,2.1909375,82.1189129000625,76.75,266.6875,25.2375,6.3125,67.9375,7.4915625,79.4375,22.96875,794.5230103125,1200527.5625,7.1875,7.06875,0.4568125,10.65625
93,Liberia,1.0,57.525,246.9375,10.6875,3.2890625,25.27170667675,70.5625,705.3125,19.9875,14.75,59.4375,6.7759374999999995,40.6875,2.28125,246.28174803125,2788942.625,7.8375,7.7625,0.3894375,9.86875
94,Libya,1.0,72.4875,139.6875,2.1875,0.2440625,180.0749890925,96.3125,547.3125,54.8375,2.5,96.5,3.8546875,96.5,0.1,3890.3583803125002,1386542.0,5.6,5.43125,0.7408125,14.79375
95,Lithuania,0.0,72.80625,117.25,0.0,12.0778125,1015.75384256375,94.75,14.9375,49.23125,0.0,88.8125,6.4978125,94.25,0.1,9007.4586225,1926212.125,2.9375,2.96875,0.8066875,16.1
96,Luxembourg,0.0,80.78125,67.5625,0.0,11.4115625,8177.5763413625,92.375,1.125,47.825,0.0,98.0625,7.4353125,98.9375,0.1,53257.012740625,265276.375,0.95,0.9125,0.878125,13.6375
97,Macedonia,1.0,74.1125,60.8125,0.0,1.9771874999999999,0.0,86.1875,74.75,52.90625,0.0,95.5,7.4246875,94.875,0.1,1766.947595,1386542.0,2.43125,2.45625,0.45575,12.38125
98,Madagascar,1.0,62.74375,228.8125,34.9375,1.0034375,43.25315657175,66.9375,9576.1875,14.76875,51.125,59.9375,4.7759375,61.25,0.525,314.04132958125,10950267.4375,7.86875,7.78125,0.4566875,9.33125
99,Malawi,1.0,49.89375,424.4375,37.125,1.0965625,25.849706456812502,89.875,7559.4375,16.78125,58.75,89.0625,6.6021875,83.625,16.68125,237.50404201875,6700263.0625,7.11875,6.9875,0.410625,10.23125
100,Malaysia,1.0,73.75625,118.5625,3.3125,0.6946875,248.88502812,96.0,1453.125,29.16875,4.125,96.375,3.8740625,96.4375,0.1,4904.9389918125,11529155.8125,8.6125,8.40625,0.749125,12.5625
101,Maldives,1.0,75.5375,83.1875,0.0,1.5540625000000001,626.4998210525,97.875,157.875,19.29375,0.0,97.875,8.0815625,97.875,0.1,3818.2969615625,3334.25,14.19375,14.2875,0.638625,12.0
102,Mali,1.0,54.9375,202.125,55.9375,0.6453125,48.981176981125,71.8125,823.3125,17.2125,96.5,62.5,6.4746875,67.0,1.825,530.5121701,5781492.875,7.075,6.35,0.3651875,6.43125
103,Malta,0.0,80.3625,60.75,0.0,6.9190625,1181.4317855812499,82.6875,2.1875,66.18124999999999,0.0,89.4375,8.4190625,89.3125,0.1,10114.797943125,224742.4375,0.75,0.7124999999999999,0.8111875,14.30625
104,Marshall Islands,1.0,72.1,144.0,0.0,0.01,871.8783173,8.0,0.0,81.6,0.0,79.0,17.24,79.0,0.1,3617.752354,1386542.0,0.1,0.1,0.677,0.0
105,Mauritania,1.0,62.8,159.9375,7.8125,0.2471875,31.7031471238125,68.375,815.9375,22.475,11.9375,63.0625,4.0490625,60.125,1.1875,635.04960900625,1262286.1875,6.48125,6.81875,0.4730625,7.31875
106,Mauritius,1.0,72.7125,163.5625,0.0,2.9596875,422.2395242989375,96.1875,54.3125,25.98125,0.0,96.5,4.6015625,96.3125,0.10625000000000001,5299.579823625,663332.875,7.46875,7.4125,0.722625,13.53125
107,Mexico,1.0,75.71875,111.0625,39.625,5.0290625,465.3274957875,94.4375,11.0,51.41875,46.5,95.0625,6.0540625,95.0,0.1,5179.33080675,27585265.1875,1.73125,1.66875,0.7288749999999999,12.325
108,Micronesia,1.0,68.2,154.0625,0.0,2.2459375,0.0,75.4375,8.75,65.15,0.0,82.375,10.7246875,81.875,0.1,1766.947595,1386542.0,0.21250000000000002,0.20625000000000002,0.5868125,10.4
109,Moldova,1.0,69.98125,210.3125,1.0,9.1834375,0.0,95.0,390.875,43.90625,1.0625,94.9375,6.8815625,72.8125,0.1,1766.947595,1386542.0,3.025,3.2,0.677,12.3
110,Monaco,1.0,72.1,144.0,0.0,0.01,0.0,99.0,0.0,43.5,0.0,99.0,4.3,99.0,0.1,1766.947595,1386542.0,3.3,3.3,0.677,12.3
111,Mongolia,1.0,65.8875,222.125,1.5625,2.4415625,126.378363989375,97.4375,2079.25,39.79375,1.9375,97.5625,5.2165625,97.375,0.1,1984.6880227125,2037470.6875,2.28125,2.3874999999999997,0.6620625,12.66875
112,Montenegro,1.0,74.5,92.75,0.0,2.730625,455.049824020625,64.8125,0.625,50.4875,0.0,87.5625,7.3153125,87.6875,0.1,4676.5142775,329668.1875,2.1375,2.1875,0.58375,10.71875
113,Morocco,1.0,72.15625,95.1875,21.375,0.7209375,102.98965830775,87.25,2593.0,48.61875,24.875,96.9375,5.4621875,97.1875,0.1,1936.391438375,20591653.9375,6.45625,6.3125,0.5855,10.2875
114,Mozambique,1.0,53.39375,226.25,74.5625,1.4215625,37.0341515221875,69.375,4735.0,16.14375,107.25,69.0,5.9590625,64.0625,11.3875,365.06823808125,11729745.9375,3.80625,3.71875,0.3608125,7.9875
115,Myanmar,1.0,64.2,154.3125,56.625,0.5640625,12.82456363525,70.4375,914.5,17.125,76.9375,70.6875,2.2465625,72.375,0.475,616.18435734375,26015702.0,13.13125,13.425,0.48825,8.325
116,Namibia,1.0,60.4,313.1875,2.875,4.6509375,359.9300794169375,89.875,722.0625,28.225,3.8125,78.5,7.2959375,83.5,13.64375,3042.603507,1025527.125,10.7,10.70625,0.5883125,11.55
117,Nauru,1.0,72.1,144.0,0.0,0.01,15.60659587,87.0,0.0,87.3,0.0,87.0,4.65,87.0,0.1,136.18321,1386542.0,0.1,0.1,0.677,9.6
118,Nepal,1.0,66.48125,147.25,29.125,0.41281249999999997,40.1620642759375,70.375,4663.5625,15.175,38.125,69.125,5.8809375,73.6875,0.15625,395.32846794375,14633755.5625,17.13125,17.66875,0.494375,10.43125
119,Netherlands,0.0,81.13125,61.625,1.0,8.5284375,3805.68704771875,78.3125,251.9375,53.96875,1.0,96.8125,7.0546875,96.8125,0.1,34964.719796875,9775704.375,1.025,0.9625,0.89975,17.05625
120,New Zealand,0.0,81.3375,71.5,0.0,9.16625,2922.147779791875,70.1875,94.9375,56.625,0.0,89.125,8.6809375,70.625,0.1,14775.554806875001,1386542.0,0.3125,0.3,0.8911875,18.86875
121,Nicaragua,1.0,73.45,162.375,3.0625,3.6065625,183.6629076488125,91.875,0.0,42.68125,3.6875,88.1875,6.6696875,91.875,0.225,957.9039710625,1999846.9375,1.96875,1.875,0.6035,11.1125
122,Niger,1.0,56.98125,232.4375,52.8125,0.3203125,19.099368610625,78.25,15467.125,16.3625,105.6875,52.9375,6.5259375,52.3125,1.1625,259.782440975,11240718.9375,9.025,8.9125,0.298125,4.01875
123,Nigeria,1.0,51.35625,248.5,535.6875,8.3409375,85.4442753329375,58.25,51653.9375,19.75,852.0625,41.3125,3.8384375,39.3125,4.83125,1360.13987746875,70877003.0625,10.41875,10.36875,0.367375,9.0
124,Niue,1.0,72.1,144.0,0.0,0.01,0.0,99.0,0.0,77.3,0.0,99.0,7.2,99.0,0.1,1766.947595,1386542.0,0.1,0.1,0.677,12.3
125,North Korea,1.0,69.19375,160.8125,9.9375,3.0471875,0.0,89.4375,222.5625,25.625,12.8125,98.25,5.755,83.25,0.1,1766.947595,1386542.0,5.4375,5.45,0.677,12.3
